iid,date,airline,flightNumber,,dep.airport,incidentType,severity,delay,num.injuries,reported.by,aircraft
i1001,17.4.2019,NH,1750,,LHR,mechanical,minor,106,0,crew,737-800
i1002,6.7.2020,AM,284,,JFK,medical,critical,133,1,first officer,747-8
i1003,14.2.2021,FR,5797,,BOM,security,minor,74,0,crew,737-400
i1004,13.9.2021,AM,256,,PEK,medical,critical,77,1,mechanic,A321-XLR
i1005,4.3.2012,JL,5668,,BOM,mechanical,minor,78,0,first officer,BE206-JetRanger
i1006,11.5.2016,CZ,8393,,PEK,security,critical,30,0,ground staff,A321-XLR
i1007,12.11.2023,SQ,413,,HND,medical,minor,31,1,company,737-400
i1008,3.7.2020,FR,5395,,YYZ,security,critical,49,0,company,777-300ER
i1009,9.3.2016,AI,5777,,ORD,security,critical,100,0,pilot,747-8
i1010,14.2.2009,NZ,833,,JFK,turbulence,critical,34,1,pilot,737-800
i1011,21.11.2021,NH,6999,,SFO,faa,major,68,0,company,737-800
i1012,15.4.2014,WN,6333,,JFK,mechanical,minor,112,0,pilot,A350-900
i1013,15.6.2012,AY,4623,,SEA,crew,minor,89,0,company,747-8
i1014,20.8.2019,TK,9935,,JFK,security,minor,74,0,first officer,737-400
i1015,7.9.2011,AM,3060,,LHR,faa,critical,43,0,company,737-400
i1016,24.11.2021,AI,3853,,CDG,security,major,33,0,crew,A350-900
i1017,22.9.2021,TK,4198,,SFO,faa,major,108,0,first officer,A321-XLR
i1018,4.6.2023,KL,120,,LHR,security,major,61,0,pilot,A380
i1019,8.9.2017,UA,5958,,LAX,weather,critical,82,0,crew,A380
i1020,15.11.2022,G3,6770,,SFO,security,minor,21,0,pilot,747-8
i1021,10.12.2021,MH,3915,,FRA,turbulence,major,117,1,ground staff,BE206-JetRanger
i1022,19.4.2017,FR,7410,,HND,mechanical,major,35,0,mechanic,747-8
i1023,25.2.2010,CX,7506,,ORD,weather,major,29,0,ground staff,A380
i1024,9.2.2009,IB,2484,,JFK,security,major,37,0,company,A380
